"Serie";"SIGLA AZIENDA";"Magazzino";"idutente"
1;"CIF";"1MAGAZZINO CENTRALE";
14;"CIF";"BARI";
8;"CIF";"BOLOGNA";
7;"CIF";"BRESCIA";
23;"CIF";"CAGLIARI";
15;"CIF";"CATANIA";
13;"CIF";"COSENZA";
9;"CIF";"FIRENZE";
43;"CIF";"FRANCIACORTA";
10;"CIF";"LIVORNO";
2;"CIF";"MAGAZZINO 2";
44;"CIF";"MANTOVA VILLAGE";
46;"CIF";"MESSINA";
6;"CIF";"MILANO";
33;"CIF";"MONDO VICINO";
27;"CIF";"MONZA";
11;"CIF";"NAPOLI";
12;"CIF";"PALERMO";
28;"CIF";"PERUGIA";
17;"CIF";"PESCARA";
29;"CIF";"PIACENZA";
22;"CIF";"PUGLIA VILLAGE";
45;"CIF";"REGGIA DESIGNER";
4;"CIF";"REGGIO EMILIA";
5;"CIF";"ROMA";
31;"CIF";"SAN BENEDETTO DEL TRONTO";
34;"CIF";"SICILIA VILLAGE";
24;"CIF";"TRENTO";
36;"CIF";"TREVISO";
25;"CIF";"TRIESTE";
32;"CIF";"VALDICHIANA";
42;"CIF";"VALMONTONE";
21;"CUF";"SALERNO";
26;"CDA";"BORGOMANERO";
20;"CDA";"UDINE";
19;"CDA";"VARESE";
